,Cr,Fe,Cd,Zn,Cu,Pb
eaeH,-0.008615817266483791,-0.06014691322345961,0.021251999050193305,-0.0108123311064319,0.02996769224635858,0.029945410411182195
proB,-0.006698545148737289,-0.06733091081062775,0.009295190154233454,0.04588902171584399,0.05518462173579094,0.050753886053928804
yfjL,0.031791657128723776,-0.09585161500956835,0.029825880324851405,0.04414247862552513,0.11830044769795564,-0.011107671450762134
pdhR,0.025233241011033407,-0.0886076225282734,0.007885707401203151,0.019469029882813876,0.0180031462888085,0.04083920674913526
ykgD,0.02873527966450566,0.021496217428138394,0.008429824965740141,0.08561485513422205,0.03943146254251554,0.02893052337642765
aroL,-0.015660525261879277,-0.06561297973306719,0.0032544198189597773,0.19356972014195098,0.03314820143646008,0.04682458065806128
ydaQ,0.05559502381014918,0.007568057784531252,0.007779904797072563,0.02679705803034779,0.040497338607419726,0.030347436368455848
pykF,-0.0315671961848771,-0.06498878076479019,-0.002862553647929332,0.046521286719239933,0.20792812867665175,0.03830666202503349
gsk,0.004121577693195682,-0.003171649613351168,0.0070568140930584895,0.020786433124346193,0.004538254144822322,0.034447294029349235
serC,0.03659494987442436,-0.0782234972540555,-0.00042848263435902044,0.10252669977534278,0.028989817779303435,0.036230965677421546
yohC,-0.04468099242590812,-0.2980647259350913,0.021768398389591572,0.03839928698694634,0.04013207939009285,0.07277383717936438
sdhC,-0.02169629074434345,-0.01179816304512451,-0.006557239130783747,-0.008769065054263673,0.03418861224224265,0.10924067100818285
smtA,-0.005779309185582508,0.027433806307468406,0.014636740505176327,0.0533237837467358,0.015622279166457123,0.03291815383091361
cysB,0.05942121469269484,-0.03822622882059158,0.02708262384958814,0.11447997682532836,0.02062153519946832,0.07610141418450751
csgC,0.01823111634120314,0.1461513143766349,0.021524783420555863,0.05360433866334758,0.052364979545562955,0.018797077041646588
mngR,0.02867451122031731,0.019102004093034818,0.014369914329043559,0.07671924093250042,0.02817952817028683,0.031576312991541455
amiA,0.03161452610577043,-0.05148011393994663,0.008951454340270587,0.05628963521929435,0.034858065327740155,0.09449884713880176
aroH,-0.027175204634742944,-0.045188760582933175,-0.04229699096173345,0.09974853594176088,0.03016482313799132,0.06445701708834546
mviN,0.058636797103718614,-0.08695100449018438,-0.02159717653528654,0.07253681593749237,0.11747150454568538,0.08488308049152657
tktA,0.05079830931392762,0.03097611402333149,0.003638495811352088,0.027550425135664424,0.018271319153078103,0.03902299083207489
slp,0.048224823453536715,-0.11542969880461423,0.01391084467661292,0.002916125357647987,-0.04228586670649304,0.015735492656317157
ycjL,0.03584351318251826,-0.0748394162191803,0.049380401811724345,0.03327853599788923,0.1125734516449167,0.14427171635936678
ycgM,0.01823702897594207,-0.12494204913038558,0.012128410907979519,0.03683456636752084,0.017677706817210863,0.06557025438242278
nuoM,0.029233908920088626,-0.19087854553508338,-0.0022504127907883456,-0.010346041137307867,0.09115076679573764,0.1097167310532412
rfaD,-0.0029769945420412016,-0.03744116906139168,0.09017971605125,0.09665465441815436,-0.005581531620305897,0.09349451912176233
ycjX,0.05210288414883693,-0.04381625213064358,0.007346415083865133,0.08243355327234517,0.007198880311570241,0.06565032228182924
ycjM,0.045444749017242256,-0.02207036755209243,0.0025239879767639754,0.12138637930026795,0.046400366400043164,0.03997914400974991
insB_4,0.055491561024887094,-0.12155822298943503,0.0006952788381620914,0.029539689591934818,0.03086480015655262,0.05975894026550719
murC,0.05828020408350067,-0.10027770624768674,0.025213456126036916,0.027304001229612913,0.018275592487948834,0.016073103355879435
yncE,0.010826399727273197,-0.058704659640703996,-0.010467146328988406,0.0781222839409431,0.06949329383347895,0.07739833773287008
ycbR,0.0017935861994480082,-0.16379125148642795,0.10511676028278105,-0.018335603993553894,0.025102930172402844,0.026591499319118778
hydN,0.010130607208129427,-0.07083241149034951,0.02019060326736588,-0.005045027478812603,0.01653972162702086,0.030013799649340107
mrcB,0.031917280864887085,-0.03856157161399194,-0.015010702380053404,0.048046566538718215,0.0022675947951848645,0.10452019813407046
yneJ,0.004370222898501159,-0.06631165411922742,-0.06182502748337119,0.019333731792839124,0.0718534307148801,0.05693617151121702
ycbB,0.039291640021746684,-0.14598987936802887,0.0007295978326939017,0.04376032829142928,0.022084431470113602,0.033317357443769534
hycB,0.03387851616589073,-0.0564301864762368,0.0029578283811866517,0.0018566265675987732,0.027769078184210122,-0.009369320356249456
fhuA,0.0504857729850482,-0.12657147869338417,-0.01418933452109411,0.03919174262078,0.05099493097982314,0.0313814034471922
ydiQ,0.014543887734673104,-0.05043526263535454,0.025821023923932422,0.007872346142281312,-0.0023136184670293544,0.007978509426852447
hemG,0.010704539354070664,-0.08432808620158358,0.02742776580776675,0.0050152971199675074,0.032815177578208996,0.019464391592713414
