,0,1,2,3,4
zntA,0.04557283781468868,-0.004251661719754338,0.3928338208794594,0.08215574026107789,0.11226163059473038
rpoS,-0.0021405736613087354,0.0030844941921532153,-0.0048156610783189535,-0.0012856288370676338,-0.004115113164298237
rihC,-0.004455082919448614,0.011239038091152906,0.026837361995130777,0.0018339646491222085,0.00030166581884259356
ypfH,-0.002918184180743992,-0.005392513740807772,-0.006283783344551921,-0.0019898113678209484,-0.002325901365838945
alsI,0.009394968235865235,0.008576346430927514,-0.0018196645157877356,0.004026927901431918,-0.009828683454543352
ygdQ,0.004777274709194899,0.0068675179593265055,0.0441073490306735,0.0010521586181130261,-0.008786198040470481
yabP,0.00046971030737040563,-0.018834078945219518,0.007353026415221393,-0.004193286066874862,-0.00034354275063378734
ypfJ,0.00032472562888870017,-0.014681912353262305,0.010422162767499686,0.002504874668084085,-0.001984874401241541
talB,7.687879486184101e-05,0.003999889022670686,-0.003166403544601053,-0.0008196819946169853,-0.0032981683942489327
yqeI,7.364629236690234e-05,0.006979531021788716,-0.004702791003510356,-0.00028627747960854324,-0.007051511714234948
yabI,0.001652297938708216,0.002241571322083473,0.002450359123758972,0.0006994132639374584,-0.001938716241857037
hda,-0.0077804105496034025,0.0023949899547733365,-0.008676373213529587,0.004610648709349335,-0.010425671860575676
talA,0.009670492904260754,-0.021656501814723016,-0.003579018192831427,-0.0049705833429470655,0.00497916063759476
ygeH,-0.010255148280411958,0.008640164444223046,0.0017584410705603658,-0.0012712358171120285,-0.0033564906264655294
ilvI,-0.005983235854655504,0.0012525817786809058,0.001241165657993406,-0.0006431170832365751,-0.000978501164354384
yfgB,-0.004209172995761037,0.0030313806608319284,-0.006135860490612686,0.0047765790950506926,-0.00014595830027246847
pfkB,-0.003576374682597816,-0.017406764924526214,-0.003953136489726603,-0.00020566450999467633,-0.0005182878894265741
ygeY,-0.0025459247617982328,0.002914269044995308,-0.021780972816050053,-0.0006851162796374411,0.004086872320622206
secM,0.0001572268102609087,0.018269051797688007,0.00029780378477880734,-0.00270259247161448,-0.002883822137955576
iscS,0.0035393725614994765,9.674376788098015e-06,0.002351444624364376,0.001267244921764359,0.0029777012206614016
setB,-0.004518078886903822,0.002810440792236477,-0.00589508751872927,-0.0037663550092838704,-0.004559791227802634
ygiL,-0.005049199634231627,0.0027357416180893777,-0.0046527212345972655,-0.002338220977690071,-0.0027653485373593865
yacL,-0.0026935601281002164,0.008725394178181887,-0.0028589490195736287,-0.004943041577935219,-0.0007241664477623999
iscR,0.007933086194097995,-0.04012146528810263,-0.008006512448191642,-0.0038325581396929918,-0.001074557757237926
crp,0.009051069896668196,-0.017805714402347805,0.0036711032409220933,-0.00274562380509451,0.00018033346947049722
eaeH,-0.0025308003928512335,0.0004434748549829237,-0.0012768101983238011,-0.005574083742685616,-0.006064528129063547
proB,0.0015484507160726934,-0.0007879491872154177,-0.004969036290422082,-0.000641776931588538,-0.005618335022591054
yfjL,-0.009583373283967377,-0.00568270483519882,0.0006141193880466744,-0.0005987508263206109,0.0030076036509126425
pdhR,-0.0007796647882787511,-0.004392003337852657,-0.004676890489645302,-0.0027515779971145093,0.0010655311611481011
ykgD,-0.0026568794273771346,0.015149097619578243,-0.004796156547963619,0.0023199555417522787,0.001620170931564644
aroL,0.00023391255046590232,8.277383403765271e-06,-0.006165389530360698,0.012037664921954273,-0.007468350594863295
ydaQ,-0.0023137445678003132,0.01258931627497077,-0.004985000626184046,-0.002630208795890212,0.007257183617912233
pykF,0.0010344570328015834,-0.000945173017680645,-0.009652009280398489,-0.0004718913650140166,-0.010195580990985036
gsk,-0.0018704757804516702,0.010607943302020431,-0.004762210845947266,-0.0031108384509570897,-0.0036065811687149107
serC,-0.0016905757074709982,-0.002322475342079997,-0.006859225104562938,0.00437236612662673,0.003538730861619115
yohC,0.0049458105070516465,-0.04143262378871441,-0.0015650286083109678,-0.00012165424392151181,-0.013101960709318518
sdhC,0.012677063131704927,0.008652193928137422,-0.009875589767470955,-0.005675606057047844,-0.009301583645865322
smtA,-0.0020426888344809413,0.016066845543682574,-0.0030024442006833852,-0.0005424685659818351,-0.005753617100417614
cysB,0.005646005822345614,0.004919850146397948,-0.0005946242425125092,0.004910422409884632,0.007768699997104705
csgC,-0.004034768268465996,0.036963031813502314,-0.001685213214950636,-0.0011875097290612758,-0.0009273292979924008
mngR,-0.002293034601025283,0.014755985904484988,-0.003199352896772325,0.001525532891973853,0.0015295064437668771
amiA,0.009493252458050848,0.0021553984191268684,-0.005645746756345034,7.056687791191507e-05,0.00199965494684875
aroH,0.003992704669944942,0.00302675343118608,-0.018011160232126712,0.004133220822550357,-0.009857793813571334
mviN,0.008552800007164478,-0.004310215902514756,-0.01414887746796012,0.0019031316135078669,0.008239672118797899
tktA,-0.0008505047170910984,0.016725122835487126,-0.005964135988615453,-0.0026968859671615063,0.006077432637102902
slp,-0.006277103731408715,-0.00884408832527697,-0.001937296447576955,-0.0040054865647107364,0.005887254527769983
ycjL,0.019572842195630075,-0.002124155720230192,0.002809028755873442,-0.002120376864913851,0.0026726189721375704
ycgM,0.0037240631878376006,-0.010761087518185377,-0.0039692913228645925,-0.0011432801140472293,-0.0004611608394770883
nuoM,0.012835421077907085,-0.022817162293940783,-0.009163462603464723,-0.0048008694360032675,0.0020491144340485335
rfaD,0.008543152641505004,0.0051393438503146175,0.015417736424133181,0.002915264144539833,-0.005793271008878946
ycjX,0.003679492410738021,0.003770948110613972,-0.005228680106811225,0.0023415579204447566,0.006370958173647523
ycjM,-0.0007128292619017885,0.007597752846777439,-0.006499866852536797,0.005649128006771207,0.005237712692469358
