,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
zntA,-0.02141466514310903,-0.002273302169487579,-0.012201635194942355,-0.008543545035645366,0.005494187441654503,-0.0009029910649405792,0.018254374646965194,0.003951638522557914,0.12341773465275764,-0.04885425841117778,-0.018121644938364625,0.03353305151121634,-0.0545145820096596,0.002865313393995166,-0.01784860451705754,0.0011287680215900763,-0.015473571841162865,-0.015082670250888337,0.04155330042596216,0.006563950200599836,-0.09137311458587646,0.012836077911779285,0.01642205795273185,0.041170105896890165,-0.015346057175361003,-0.0004208332103371504,-0.06147182174026966,-0.0011565471912035718,-0.004660962289199233,-0.07569173030555248,0.010541855646297336,-0.0017142174418573503,-0.27666009736783576,-0.15612811728247575,0.0002906556974138907
rpoS,0.004089937630024823,0.0009387247753329575,0.0030539366882294415,-0.0008396685082698241,-0.006866773585788906,-0.0004522241777158342,0.0024625581387868697,-0.0028295815805904566,-0.00832574070431292,-0.0031843150755753967,-0.004451600690372288,-0.003195318757942078,0.0006095837331964297,0.00012159817801148165,0.011833866816014052,0.0014271733863279222,-0.0008876041022383354,0.009282601786028478,-0.002128408189839971,0.00023310355770282765,0.032042717561125755,-0.006753819491714239,-0.0019505494670011103,-0.008787872893735766,-0.004804454350210342,-0.0002000517287524417,0.0028781909619438203,3.8978224047241384e-05,0.0019700295838993042,0.0034033969207666816,0.0009125265176407992,0.001087987141664883,0.007493960233687451,-0.004434858194144908,-0.007891038727854759
rihC,-0.008675868505367427,0.0011796976340701804,-0.0018102767190430313,0.0079987839050591,0.005358163770288229,-0.004724590666592121,-0.0004683961439963348,-0.008216932020150124,0.04549760844558477,-0.03266305385566339,0.001145834180538259,0.015128950452881235,0.00939027494606898,-0.00038467359394417144,-0.01852525630965829,-0.0024998176307417454,-0.006945213952073545,0.005261600108759612,0.003657320036084311,0.0030254839790707574,0.0102888139244169,-0.0002524552233126087,0.021232847198843954,0.0015677324123134894,-0.007386554190985013,0.0034940999862737953,-0.0046049492468344085,0.0008092083706287667,-0.0004287288579507731,0.004614858031272888,0.0025397972902283074,-0.011381400589163254,0.00595735167926342,0.03925942736012595,0.020484398040448278
ypfH,-0.008379761830461447,-0.0005851804272970184,-0.0010034174979591626,-0.004077344476245344,-0.0002183252685063053,-0.0006717301195021719,-0.005807698046898141,0.0017245387984439731,0.0033799767540767787,0.014617707773407058,0.00018631387612003892,0.0033297325540898423,-0.00950633155508447,-0.006839432441629469,0.002383890694472939,-0.005840620785020292,0.0004873781108104558,-0.008416923703913837,0.006273477407241309,-0.0006045884457559255,0.002030256191501394,-0.0016432014387100936,-0.0007053311762865633,0.0036494417721405627,-0.004193531308495968,-0.00031868195539573206,-0.000789989619775913,0.0004733085865154862,-0.00040407681110082194,-0.010424460396170615,-0.0018877060851082207,-0.002795396393842318,-0.007620815524003572,-0.0061318538750388795,-0.002194300953062697
alsI,0.0272868996429624,0.0014119769679382444,-0.009067503153346479,-0.0017395466964808292,0.0025824329210445284,-0.001999079885426909,0.0007723251273787087,0.0003564895645104116,0.0011361589109219494,0.029295097332356905,0.004186670046765357,0.002682097031878345,-0.01983282327191117,-0.009750892575830221,0.002150057891267352,-0.004908195650205016,-0.003938732313631912,1.0116661589151037e-05,0.005464554540123101,-0.0006799002724793799,-0.003255437477491796,-0.001677785407518968,-0.0016850734420586378,-0.004943166268058121,-0.0012377297275306023,-0.0007331082125892862,-0.0037596814131284967,0.0019702722085639833,0.0004767480448936112,-0.0038933632662519813,-0.00215662251226604,-0.017025207536238613,-0.010700107977791416,-0.014072881861855941,0.021854706830017164
ygdQ,0.0009055507361696036,0.0010062551451846958,-0.00532238392625004,-0.0012826181575655937,-0.00045195055776275694,-0.0020788323460146784,-0.005126754238325007,0.0009151898289564996,0.003679215235169977,-0.002171169500537339,0.0031390681792981922,-0.015513259447132699,-0.009697885679791575,-0.007840532497502863,0.015555962864309549,-0.004706170754507184,-0.0017077834027904,-0.0015958097586936328,-5.658564803098547e-05,-0.002017092166537855,-0.011043756781145931,-0.0026804133364930747,0.00020800730286282487,-0.0016260008013341575,-0.0015709140438816905,-0.0002395294287998695,0.0030772117253868502,0.0008573009504470974,0.0005733541640802287,-0.00947444555349648,-0.0013482095382642,-0.011638354406588607,0.007235944926070821,0.015326909986989838,0.033208819421034465
yabP,-0.0010778595663423678,0.0009304976800922304,-0.0021463811327703296,-0.004168424436356872,-0.00040114031551638616,-0.0012153271888382733,-0.0006380676050492399,0.0006937913218280301,-0.00985735016874969,0.005382465966693239,0.0020720927824731915,-0.007218283205998667,0.0024164438466109414,-0.0055454437667503955,-0.002882755771279335,-0.0033786511258222162,0.0026333108450276683,-0.013815999866376832,0.008463661370362028,-7.379450325873783e-05,0.004226628579199314,-0.0015115656366106122,-0.0002581532989279367,0.004661847043316811,-0.0038731103359731203,0.001809048823779449,0.00025366988737663093,-0.0008775231434265152,0.0015236131299752743,-5.0660536016948756e-05,-0.0005531049240380526,-0.005623027978634293,0.002998203491895563,0.0030994959961390123,0.011517510342765862
ypfJ,-0.0007364931198485511,0.0005806934062275105,-0.0029672172968275845,0.0037660912564024328,0.0011142706964164973,-0.0020384147902950643,0.0035316509632941553,-0.0016040143137797712,-0.007724984725937248,0.010990590493126614,0.003486307228449732,0.0031348642154662596,0.0010522992515782873,-0.0087161158118397,0.005250080386176705,-0.006837331131100655,-0.0006312556274357543,-0.0100948204449618,0.005856644385206847,-0.005108211793877343,-0.004047304776031524,-0.0006257271289359779,-4.559572352498265e-06,0.005614203698933125,-0.0013681555901337223,-0.0005839556991122663,0.004736728396544114,0.0007427315920358524,0.0001570777617280328,-0.009604380065575242,-0.0003984570602187887,-0.006384389211583619,0.01952249842761743,0.008606455168254408,0.005421710525873825
talB,-0.005662928217777399,0.0011597391427494586,0.002385032307356596,0.0011069199640769511,0.0015491154766641556,-0.0042794304993003605,-0.000316414961236981,-0.004694400914013385,-0.0376077600568533,0.004805888611505308,0.00868302353657782,-0.027391543687142507,0.010301799542203392,-0.005213348055258393,-0.007035986701957882,-0.0011772340617608279,-0.004315584422926409,0.002383574122111745,-0.006237235604382959,0.0009013844721382756,-0.0035436053667217493,0.0008590928179910407,-0.00021978124510496855,-0.00899320443160832,0.00815490231916462,-0.0020997928478755055,0.013338337523585304,-0.0011271535640116782,0.001623981762677431,-0.004968444667756557,-0.002418214192148298,-0.00457779570915407,0.003707557870780654,0.0251876306720078,0.004103266217575317
yqeI,-0.014001061086251277,-0.0002922051459609065,7.079575746161027e-05,0.0013560945738572627,-0.0010013564152177423,-0.0011431262386031448,0.005180919531951932,-0.0012285568320658058,-0.00309625017689541,-0.003978277359260019,0.0010931759304367006,-0.009363558124562707,0.010975869180461796,-0.007788622654043138,0.0023951030103489756,-0.006592713971622288,0.0030217443597550043,-0.001092984600919155,0.003268013780154748,-0.0042460085576439795,0.006764364349655807,-0.0024304669187404215,-4.716656945674913e-05,0.0027867202064953745,-0.003260739330087126,-0.001788792044389993,0.0007902004339910568,0.0007053311390336602,-0.00025414223011466675,-0.003291349527426064,-0.0017120875022374094,-8.037150316818272e-05,-0.002141361925021905,-0.00152300601933218,0.015105669216161043
